group,gene,mean_scaled,fraction
Epithelial cells,MZB1,0.014905733056366444,0.03177281034725151
Epithelial cells,CD14,0.035816676914691925,0.05397896540874188
Epithelial cells,LYZ,0.742289125919342,0.639472997127995
Epithelial cells,FCGR3B,0.0020488929003477097,0.009486319482101853
Epithelial cells,CSF3R,0.004218914080411196,0.01914000522182724
Epithelial cells,TPSAB1,0.011160392314195633,0.020237927871837615
Epithelial cells,KIT,0.003715939586982131,0.006728123556466028
Epithelial cells,EPCAM,1.0,0.6325842019642104
Epithelial cells,KRT18,1.0,0.819056991558046
Epithelial cells,ALB,0.05529508739709854,0.08490155516726584
Epithelial cells,APOA1,0.054017532616853714,0.06777663968722594
Epithelial cells,PECAM1,0.0,0.02609574688866127
Epithelial cells,VWF,0.009429697878658772,0.012485522818715565
Epithelial cells,COL1A1,0.06389101594686508,0.07698178385652026
Epithelial cells,DCN,0.01527429185807705,0.022279796214844716
Epithelial cells,RGS5,0.04688418284058571,0.06094809637618579
Epithelial cells,ACTA2,0.022968249395489693,0.037918499327187646
Hepatocyte,CD3D,0.13585138320922852,0.09447805380357832
Hepatocyte,CD3E,0.13334031403064728,0.08057665079160767
Hepatocyte,NKG7,0.22604693472385406,0.11487964989059081
Hepatocyte,GNLY,0.1410471796989441,0.051164886085725315
Hepatocyte,CD79A,0.0049483333714306355,0.008881451924314583
Hepatocyte,MS4A1,0.013728249818086624,0.016990603681297463
Hepatocyte,JCHAIN,0.0,0.03359505727892908
Hepatocyte,MZB1,0.0,0.013322177886471876
Hepatocyte,CD14,0.3442504107952118,0.2604582314326168
Hepatocyte,LYZ,0.41898536682128906,0.3723130390011585
Hepatocyte,FCGR3B,0.01069644745439291,0.016411378555798686
Hepatocyte,CSF3R,0.020030802115797997,0.03372377397348436
Hepatocyte,TPSAB1,0.0,0.007208134895095894
Hepatocyte,KIT,0.001024568104185164,0.0039258591839361565
Hepatocyte,EPCAM,0.6018130779266357,0.34573304157549234
Hepatocyte,KRT18,0.8663048148155212,0.6352168876303257
Hepatocyte,ALB,1.0,0.9248938087269919
Hepatocyte,APOA1,1.0,0.731496975157678
Hepatocyte,PECAM1,0.025225723162293434,0.04202600077230017
Hepatocyte,VWF,0.0,0.00469815935126786
Hepatocyte,COL1A1,0.03156811743974686,0.0377783498519758
Hepatocyte,DCN,0.0026251941453665495,0.008044793409705238
Hepatocyte,RGS5,0.01900521107017994,0.024777963701892135
Hepatocyte,ACTA2,0.040664639323949814,0.048719268889174924
Endothelial cells,CD3D,0.018073836341500282,0.03444876783398184
Endothelial cells,CD3E,0.01861717365682125,0.024332036316472114
Endothelial cells,NKG7,0.005411376710981131,0.022723735408560312
Endothelial cells,GNLY,0.0,0.022153047989623864
Endothelial cells,CD79A,0.02020256780087948,0.02894941634241245
Endothelial cells,MS4A1,0.022099554538726807,0.032944228274967575
Endothelial cells,JCHAIN,0.0752803385257721,0.14536964980544748
Endothelial cells,MZB1,0.011046080850064754,0.03325551232166018
Endothelial cells,CD14,0.07724130153656006,0.10376134889753567
Endothelial cells,LYZ,0.190439373254776,0.2969130998702983
Endothelial cells,FCGR3B,0.0,0.007367055771725033
Endothelial cells,CSF3R,0.0,0.01706874189364462
Endothelial cells,TPSAB1,0.006744522601366043,0.02012970168612192
Endothelial cells,KIT,0.06229844689369202,0.07252918287937743
Endothelial cells,EPCAM,0.11732854694128036,0.11901426718547341
Endothelial cells,KRT18,0.23849448561668396,0.3079118028534371
Endothelial cells,ALB,0.01766303740441799,0.03740596627756161
Endothelial cells,APOA1,0.03561747446656227,0.047626459143968874
Endothelial cells,PECAM1,1.0,0.8404669260700389
Endothelial cells,VWF,1.0,0.7952788586251621
Endothelial cells,COL1A1,0.08731713891029358,0.1037094682230869
Endothelial cells,DCN,0.032077908515930176,0.04332036316472114
Endothelial cells,RGS5,0.041748203337192535,0.06106355382619974
Endothelial cells,ACTA2,0.07530788332223892,0.094526588845655
Fibroblast,CD3D,0.0,0.023876404494382022
Fibroblast,CD3E,0.0046171885915100574,0.015194075587334014
Fibroblast,NKG7,0.001997159095481038,0.023621041879468847
Fibroblast,GNLY,0.0017888753209263086,0.023621041879468847
Fibroblast,CD79A,0.006459369324147701,0.01481103166496425
Fibroblast,MS4A1,0.005260486155748367,0.01238508682328907
Fibroblast,JCHAIN,0.09832897782325745,0.1830949948927477
Fibroblast,MZB1,0.01470277365297079,0.039070480081716034
Fibroblast,CD14,0.07772982120513916,0.1118488253319714
Fibroblast,LYZ,0.2514035999774933,0.39083248212461696
Fibroblast,FCGR3B,0.00817373301833868,0.02259959141981614
Fibroblast,CSF3R,0.008435058407485485,0.03498467824310521
Fibroblast,TPSAB1,0.009010267443954945,0.02336567926455567
Fibroblast,KIT,0.021917223930358887,0.0296220633299285
Fibroblast,EPCAM,0.14946305751800537,0.15398365679264556
Fibroblast,KRT18,0.30921223759651184,0.3927477017364658
Fibroblast,ALB,0.01047941017895937,0.030643513789581207
Fibroblast,APOA1,0.02178766019642353,0.03562308478038815
Fibroblast,PECAM1,0.002545583061873913,0.039708886618998976
Fibroblast,VWF,0.01660563051700592,0.025408580183861083
Fibroblast,COL1A1,1.0,0.9365423901940756
Fibroblast,DCN,1.0,0.9595250255362615
Fibroblast,RGS5,0.192423015832901,0.22446373850868234
Fibroblast,ACTA2,0.4655826687812805,0.4878702757916241
Pericyte,CD3D,0.00021956348791718483,0.02363112391930836
Pericyte,CD3E,0.0,0.013448607108549471
