order,sample,cell_type,proportion
27,P01-P1,T/NK cells,0.10874172185430464
28,P10-P2,B cells,0.06389716840536512
28,P10-P2,Dendritic cells,0.00856929955290611
28,P10-P2,Endothelial cells,0.05961251862891207
28,P10-P2,Epithelial cells,0.24832339791356184
28,P10-P2,Fibroblasts,0.038002980625931444
28,P10-P2,Hepatocytes,0.00018628912071535022
28,P10-P2,Mast cells,0.0363263785394933
28,P10-P2,Monocytes/Macrophages,0.04731743666169896
28,P10-P2,Neutrophils,0.17380774962742176
28,P10-P2,Pericytes,0.011549925484351714
28,P10-P2,Plasma cells,0.06184798807749627
28,P10-P2,T/NK cells,0.25055886736214605
29,P01-P2,B cells,0.01654284299157999
29,P01-P2,Dendritic cells,0.01099554234769688
29,P01-P2,Endothelial cells,0.015354135710747894
29,P01-P2,Epithelial cells,0.01713719663199604
29,P01-P2,Fibroblasts,0.02526002971768202
29,P01-P2,Hepatocytes,9.905894006934126e-05
29,P01-P2,Mast cells,0.0004952947003467063
29,P01-P2,Monocytes/Macrophages,0.5108469539375928
29,P01-P2,Neutrophils,0.29083704804358596
29,P01-P2,Pericytes,0.021396731054977712
29,P01-P2,Plasma cells,0.004160475482912333
29,P01-P2,T/NK cells,0.08687469044081228
30,P07-P2,B cells,0.008622459453910901
30,P07-P2,Dendritic cells,0.020324368712789982
30,P07-P2,Endothelial cells,0.05987819065215904
30,P07-P2,Epithelial cells,0.35112570998426057
30,P07-P2,Fibroblasts,0.011975638130431808
30,P07-P2,Hepatocytes,0.0004790255252172723
30,P07-P2,Mast cells,0.007185382878259084
30,P07-P2,Monocytes/Macrophages,0.10134811469239718
30,P07-P2,Neutrophils,0.00020529665366454526
30,P07-P2,Pericytes,0.02066652980223089
30,P07-P2,Plasma cells,0.0210086908916718
30,P07-P2,T/NK cells,0.3971805926230069
31,P06-P2,B cells,0.007918552036199095
31,P06-P2,Dendritic cells,0.00641025641025641
31,P06-P2,Endothelial cells,0.11349924585218703
31,P06-P2,Epithelial cells,0.4347662141779789
31,P06-P2,Fibroblasts,0.04135243841126194
31,P06-P2,Hepatocytes,0.007792860734037205
31,P06-P2,Mast cells,0.004399195575666164
31,P06-P2,Monocytes/Macrophages,0.12531422825540472
31,P06-P2,Neutrophils,0.006913021618903972
31,P06-P2,Pericytes,0.07227249874308699
31,P06-P2,Plasma cells,0.04550025138260432
31,P06-P2,T/NK cells,0.13386123680241327
