cell_type,rank,RES
Fibroblast,228,0.5992091982353309
Fibroblast,229,0.5991916111794041
Fibroblast,230,0.5991740241234773
Fibroblast,231,0.5991564370675505
Fibroblast,232,0.5991388500116237
Fibroblast,233,0.5991212629556969
Fibroblast,234,0.5991036758997701
Fibroblast,235,0.5990860888438433
Fibroblast,236,0.5990685017879165
Fibroblast,237,0.5990509147319897
Fibroblast,238,0.5990333276760629
Fibroblast,239,0.5990157406201361
Fibroblast,240,0.5989981535642093
Fibroblast,241,0.5989805665082825
Fibroblast,242,0.5989629794523557
Fibroblast,243,0.5989453923964289
Fibroblast,244,0.598927805340502
Fibroblast,245,0.5989102182845752
Fibroblast,246,0.5988926312286484
Fibroblast,247,0.5988750441727216
Fibroblast,248,0.5988574571167948
Fibroblast,249,0.598839870060868
Fibroblast,250,0.5988222830049412
Fibroblast,251,0.5988046959490144
Fibroblast,252,0.5987871088930876
Fibroblast,253,0.5987695218371608
Fibroblast,254,0.598751934781234
Fibroblast,255,0.5987343477253072
Fibroblast,256,0.5987167606693804
Fibroblast,257,0.5986991736134536
Fibroblast,258,0.5986815865575268
Fibroblast,259,0.5986639995016
Fibroblast,260,0.5986464124456732
Fibroblast,261,0.5986288253897464
Fibroblast,262,0.5986112383338196
Fibroblast,263,0.5985936512778928
Fibroblast,264,0.598576064221966
Fibroblast,265,0.5985584771660392
Fibroblast,266,0.5985408901101124
Fibroblast,267,0.5985233030541856
Fibroblast,268,0.5985057159982587
Fibroblast,269,0.5984881289423319
Fibroblast,270,0.5984705418864051
Fibroblast,271,0.5984529548304783
Fibroblast,272,0.5984353677745515
Fibroblast,273,0.5984177807186247
Fibroblast,274,0.5984001936626979
Fibroblast,275,0.5983826066067711
Fibroblast,276,0.5983650195508443
Fibroblast,277,0.5983474324949175
Fibroblast,278,0.5983298454389907
Fibroblast,279,0.5983122583830639
Fibroblast,280,0.5982946713271371
Fibroblast,281,0.5982770842712103
Fibroblast,282,0.5982594972152835
Fibroblast,283,0.6135375031784271
Fibroblast,284,0.6135199161225003
Fibroblast,285,0.6135023290665735
Fibroblast,286,0.6134847420106467
Fibroblast,287,0.6134671549547199
Fibroblast,288,0.6134495678987931
Fibroblast,289,0.6134319808428663
Fibroblast,290,0.6134143937869395
Fibroblast,291,0.6133968067310127
Fibroblast,292,0.6284696693034721
Fibroblast,293,0.6284520822475453
Fibroblast,294,0.6284344951916185
Fibroblast,295,0.6284169081356917
Fibroblast,296,0.6283993210797649
Fibroblast,297,0.6283817340238381
Fibroblast,298,0.6283641469679113
Fibroblast,299,0.6283465599119845
Fibroblast,300,0.6283289728560577
Fibroblast,301,0.6283113858001309
Fibroblast,302,0.6282937987442041
Fibroblast,303,0.6429709128928252
Fibroblast,304,0.6429533258368983
Fibroblast,305,0.6429357387809715
Fibroblast,306,0.6429181517250447
Fibroblast,307,0.6429005646691179
Fibroblast,308,0.6428829776131911
Fibroblast,309,0.6428653905572643
Fibroblast,310,0.6428478035013375
Fibroblast,311,0.657441008839601
Fibroblast,312,0.6574234217836742
Fibroblast,313,0.6574058347277474
Fibroblast,314,0.6573882476718206
Fibroblast,315,0.6573706606158938
Fibroblast,316,0.657353073559967
Fibroblast,317,0.6573354865040402
Fibroblast,318,0.6573178994481134
Fibroblast,319,0.6573003123921866
Fibroblast,320,0.6572827253362598
Fibroblast,321,0.657265138280333
Fibroblast,322,0.6572475512244061
Fibroblast,323,0.6572299641684793
Fibroblast,324,0.6572123771125525
Fibroblast,325,0.6571947900566257
Fibroblast,326,0.6571772030006989
Fibroblast,327,0.6571596159447721
Fibroblast,328,0.6571420288888453
Fibroblast,329,0.6571244418329185
Fibroblast,330,0.6571068547769917
Fibroblast,331,0.6570892677210649
Fibroblast,332,0.6570716806651381
Fibroblast,333,0.6570540936092113
Fibroblast,334,0.6570365065532845
Fibroblast,335,0.6570189194973577
Fibroblast,336,0.6570013324414309
Fibroblast,337,0.6569837453855041
Fibroblast,338,0.6569661583295773
Fibroblast,339,0.6569485712736505
Fibroblast,340,0.6569309842177237
Fibroblast,341,0.6569133971617969
Fibroblast,342,0.6568958101058701
Fibroblast,343,0.6568782230499433
Fibroblast,344,0.6568606359940165
Fibroblast,345,0.6568430489380896
Fibroblast,346,0.6568254618821628
Fibroblast,347,0.656807874826236
Fibroblast,348,0.6567902877703092
Fibroblast,349,0.6567727007143824
Fibroblast,350,0.6567551136584556
Fibroblast,351,0.6567375266025288
Fibroblast,352,0.656719939546602
Fibroblast,353,0.6567023524906752
Fibroblast,354,0.6566847654347484
Fibroblast,355,0.6566671783788216
Fibroblast,356,0.6566495913228948
Fibroblast,357,0.656632004266968
Fibroblast,358,0.6566144172110412
Fibroblast,359,0.6565968301551144
Fibroblast,360,0.6565792430991876
Fibroblast,361,0.6565616560432608
Fibroblast,362,0.656544068987334
Fibroblast,363,0.6565264819314072
Fibroblast,364,0.6565088948754804
Fibroblast,365,0.6564913078195536
Fibroblast,366,0.6564737207636268
Fibroblast,367,0.6564561337077
Fibroblast,368,0.6564385466517731
Fibroblast,369,0.6564209595958463
Fibroblast,370,0.6564033725399195
Fibroblast,371,0.6563857854839927
Fibroblast,372,0.6563681984280659
Fibroblast,373,0.6563506113721391
Fibroblast,374,0.6563330243162123
Fibroblast,375,0.6563154372602855
Fibroblast,376,0.6562978502043587
Fibroblast,377,0.6562802631484319
Fibroblast,378,0.6562626760925051
Fibroblast,379,0.6562450890365783
Fibroblast,380,0.6562275019806515
Fibroblast,381,0.6562099149247247
Fibroblast,382,0.6561923278687979
Fibroblast,383,0.6561747408128711
Fibroblast,384,0.6561571537569443
Fibroblast,385,0.6561395667010175
Fibroblast,386,0.6561219796450907
Fibroblast,387,0.6561043925891639
Fibroblast,388,0.6560868055332371
Fibroblast,389,0.6560692184773103
Fibroblast,390,0.6560516314213835
Fibroblast,391,0.6560340443654566
Fibroblast,392,0.6560164573095298
Fibroblast,393,0.655998870253603
Fibroblast,394,0.6559812831976762
Fibroblast,395,0.6688058558617606
Fibroblast,396,0.6687882688058338
Fibroblast,397,0.668770681749907
Fibroblast,398,0.6687530946939801
Fibroblast,399,0.6687355076380533
Fibroblast,400,0.6687179205821265
Fibroblast,401,0.6687003335261997
Fibroblast,402,0.6686827464702729
Fibroblast,403,0.6686651594143461
Fibroblast,404,0.6686475723584193
Fibroblast,405,0.6686299853024925
Fibroblast,406,0.6686123982465657
Fibroblast,407,0.6685948111906389
Fibroblast,408,0.6685772241347121
Fibroblast,409,0.6685596370787853
Fibroblast,410,0.6685420500228585
Fibroblast,411,0.6685244629669317
Fibroblast,412,0.6685068759110049
Fibroblast,413,0.6684892888550781
Fibroblast,414,0.6684717017991513
Fibroblast,415,0.6684541147432245
Fibroblast,416,0.6684365276872977
Fibroblast,417,0.6684189406313709
Fibroblast,418,0.6684013535754441
Fibroblast,419,0.6683837665195173
Fibroblast,420,0.6683661794635904
Fibroblast,421,0.6683485924076636
Fibroblast,422,0.6683310053517368
Fibroblast,423,0.66831341829581
Fibroblast,424,0.6682958312398832
Fibroblast,425,0.6682782441839564
Fibroblast,426,0.6682606571280296
Fibroblast,427,0.6682430700721028
Fibroblast,428,0.668225483016176
Fibroblast,429,0.6682078959602492
Fibroblast,430,0.6681903089043224
Fibroblast,431,0.6681727218483956
Fibroblast,432,0.6681551347924688
Fibroblast,433,0.668137547736542
Fibroblast,434,0.6681199606806152
Fibroblast,435,0.6681023736246884
Fibroblast,436,0.6680847865687616
Fibroblast,437,0.6680671995128348
Fibroblast,438,0.668049612456908
Fibroblast,439,0.6802607864854506
Fibroblast,440,0.6802431994295238
Fibroblast,441,0.680225612373597
Fibroblast,442,0.6802080253176702
Fibroblast,443,0.6801904382617434
Fibroblast,444,0.6801728512058166
Fibroblast,445,0.6801552641498898
Fibroblast,446,0.680137677093963
Fibroblast,447,0.6801200900380362
Fibroblast,448,0.6801025029821094
Fibroblast,449,0.6800849159261826
Fibroblast,450,0.6800673288702558
Fibroblast,451,0.680049741814329
Fibroblast,452,0.6800321547584022
Fibroblast,453,0.6800145677024754
Fibroblast,454,0.6799969806465486
Fibroblast,455,0.6799793935906218
Fibroblast,456,0.679961806534695
Fibroblast,457,0.6799442194787682
Fibroblast,458,0.6799266324228413
Fibroblast,459,0.6799090453669145
Fibroblast,460,0.6798914583109877
Fibroblast,461,0.6798738712550609
