cell,phase,gene,coefC_base,coefC_perm1,coefC_perm2,coefC_perm3,coefC_perm4,coefC_perm5,coefC_perm6,range_across_labellings,sign_flips
MoMac,post,CST3,-0.8245236413592423,-0.08978544903677069,0.26279284869601943,0.046090628569045874,-1.3632097413961024,0.46611778327881825,1.1334071186243082,2.496616860020411,1
MoMac,post,CTSB,-0.09803924613185137,-0.09054327458861458,-1.0051746892060631,-0.1765516284022771,0.35607028923924994,-0.8577223970955958,-1.0836870714764881,1.4397573607157381,1
MoMac,post,CTSD,-0.5161857704331323,-0.2008897821070944,-1.274403285045373,-0.10443390638099972,0.3776852271990952,-0.6206386676483259,-0.8626514209932392,1.6520885122444682,1
MoMac,post,CXCL8,0.6505839205906936,-0.7699833348839703,1.4646998058250982,-0.3037614444320982,0.298925278584745,0.5888801531095268,0.5103544408023096,2.2346831407090684,1
MoMac,post,DDX5,-0.30870660986014886,0.31173602846872833,0.013813295834997217,0.23434226385862728,-0.09060494779447809,0.541657756053525,0.5568621695537728,0.8655687794139216,1
MoMac,post,DNAJB1,-0.3333598133223871,1.0655878195338515,-0.10658111527375976,-0.22523024014279067,0.4690831083793153,1.4559006953201665,0.0015484579058368294,1.7892605086425537,1
MoMac,post,DUSP1,-0.8529895273615543,0.06563042448453157,0.28946863998421024,0.055656366380691255,-0.595627715442905,0.7967924637990824,1.1981145337264565,2.0511040610880107,1
MoMac,post,EEF1A1,-0.10382991053102185,0.14166327906566015,0.24661217910102778,0.2985550247265715,0.29002316230264924,0.5813630472839229,0.6489971143586212,0.752827024889643,1
MoMac,post,EEF1B2,-0.046090843087961714,0.25307990923800117,-0.07316519117178114,0.02094833407759549,-0.05236663139784006,0.26693408067383917,-0.006126014006223516,0.3400992718456203,1
MoMac,post,EEF2,-0.4729793242643333,0.20572017901959183,-0.19900395338752813,0.11281570309099796,-0.005591053874669261,0.4134508962086757,0.3867910739678033,0.886430220473009,1
MoMac,post,EGR1,-0.5502523726059697,-0.31527152623057814,0.43253984224820924,-0.15036134551320365,-0.18636624590015138,0.5288895846747804,0.8324308693409761,1.3826832419469457,1
MoMac,post,EIF1,0.16971181510496686,0.2748680119670814,0.49747951006622115,0.21144779178621848,-0.3247313241934807,0.6219463541511425,0.5392154867474728,0.9466776783446232,1
MoMac,post,FAU,0.1570929382986357,0.6344156287961403,0.061174145804654904,0.020071791945975803,-0.12425726058725159,0.3274835268806954,-0.0758470005480051,0.758672889383392,1
MoMac,post,FOS,-0.6637525762095472,-0.32518696990583235,0.5926448258170008,0.12863510600784808,-0.8372662701343059,0.3150151857650045,1.3850325080343961,2.2222987781687022,1
MoMac,post,FTH1,1.22456376802794,0.4374710867869192,0.6981775717122428,0.2817604411802662,0.5438219264071213,0.35074322788510465,-0.24462575513543033,1.4691895231633703,1
MoMac,post,FTL,0.23108082249836953,0.11964312316145456,-0.9393390936764991,0.06060953161496191,0.0501347335800689,-0.9129525199209655,-1.1098103845599072,1.3408912070582768,1
MoMac,post,GAPDH,0.8771554047300267,0.3455350602581948,0.4918797523922463,-0.18830138799802226,0.11778908567472576,0.275902485437099,-0.5735770403358029,1.4507324450658297,1
MoMac,post,GSTP1,-0.2614156015628851,0.05373726865927462,-0.27920741004397664,-0.3590093478711021,-0.2987684409564793,-0.04330292903153038,-0.3768011563521928,0.43053842501146744,1
MoMac,post,H3-3B,0.013665214355949074,0.26516999254435736,0.5608289994277991,0.13578774783004055,-0.256146622440723,0.8171294611708597,0.6829515329018908,1.0732760836115827,1
MoMac,post,HLA-A,0.0821793553610586,0.24983207315888503,-0.520146481782054,0.447165701957875,0.5761085632901902,-0.5589991653402255,-0.15516013518523736,1.1351077286304156,1
MoMac,post,HLA-B,0.6578003853927031,-0.12485611607178475,-0.4205544243290378,0.9107549514776575,0.8615230977706527,-0.635956006760741,-0.1675998582440843,1.5467109582383984,1
MoMac,post,HLA-C,0.3038832575825708,-0.2863409905424105,-0.3809182845875381,0.833508712689536,0.5082770820603052,-0.41686906965169696,0.1487071705194276,1.250377782341233,1
MoMac,post,HLA-DPA1,-0.8597186463789767,-0.26398898583139513,-0.2973819407579276,-0.44226028664283384,-0.8655402054539166,0.03577581700024809,0.12007641897821465,0.9856166244321313,1
MoMac,post,HLA-DPB1,-1.0885351732390103,-0.1184009298041197,-0.240157345069144,-0.3532555754403278,-1.0953778003992538,0.18709226654585984,0.49512225272954014,1.5905000531287938,1
MoMac,post,HLA-DRA,-0.7352959734540733,-0.14806678309253046,0.1836114110694464,-0.14907151980419042,-0.6425533735933584,0.5033636929989221,0.7698358647193295,1.5051318381734027,1
MoMac,post,HLA-DRB1,-0.9236563102508656,0.2788031668679476,-0.34978623357957767,-0.18879970566810297,-0.264214573421745,0.6373887727132077,0.3850703710031818,1.5610450829640734,1
MoMac,post,HLA-E,-0.39693528646046633,-0.19358310139965282,-0.17423547568790249,0.3005242322769767,-0.28781608520589524,0.04125883253415425,0.5232240430495396,0.9201593295100059,1
MoMac,post,HNRNPA2B1,-0.2187445211382991,0.1959671541611047,-0.15951101302447418,-0.0054100492143299315,0.3404901225720067,0.4373457815228835,0.053823458899495,0.6560903026611826,1
MoMac,post,HSP90AA1,-0.020072726440429955,0.9012128886660293,-0.28932301991668025,0.2981363641414782,1.0143684298641042,0.8771036347914767,0.028886070665228202,1.3036914497807846,1
MoMac,post,HSP90AB1,-0.1898520642731979,0.7708219765555014,-0.30999309114738655,0.12129958339615428,0.6657806493418006,0.8672911568095892,0.0011585565219679244,1.1772842479569758,1
MoMac,post,HSP90B1,-0.01438592066329228,-0.13966632386956634,-0.37220810723248676,-0.0020762649258443287,0.31816783417589933,-0.3102379579308006,-0.3598984514950384,0.6903759414083861,1
MoMac,post,HSPA1A,-0.4885686417099819,1.055652999931379,0.02000209572648508,-0.22373959670088414,0.36254077819771013,1.6137588075542948,0.284831140735582,2.1023274492642767,1
MoMac,post,HSPA8,-0.06380912810656779,0.2507698137438181,-0.07378305261992615,0.28555601719775137,0.31242873410004873,0.6109621340406511,0.275582092684391,0.6847451866605773,1
MoMac,post,IER2,-0.6836434891943143,-0.4039731115943657,0.4412303248515848,-0.20136617594880704,-0.4976608536317728,0.5794435719289415,0.9235076380970915,1.6071511272914059,1
MoMac,post,IFI27,0.05003264777231167,0.32129607466972876,-0.4264311734131787,0.09617836467907578,0.2815579838336986,-0.07830785699422727,-0.3802854565064143,0.7477272480829075,1
MoMac,post,IFITM2,0.47256811730488296,0.13825309448750417,0.3430577358650343,0.2503492016637577,0.044349521545361044,0.11197944006316729,0.12083882022390906,0.4282185957595219,0
MoMac,post,IFITM3,0.7333844412099791,0.17074537185004438,0.16826746166044576,0.18598965626295277,0.2519814184879067,-0.06629391070698533,-0.3791273232865792,1.1125117644965583,1
MoMac,post,IGFBP7,-0.008101607674453939,0.2065205260404658,-0.123675208554901,0.08174974352949269,0.0253478701934057,0.08063325214124867,-0.03382385735095417,0.3301957345953668,1
MoMac,post,IGHA1,-0.14676827934200865,1.3162621106720795,-0.8518209837569792,-0.31185090462286974,-0.1303749334189665,0.11094089748661486,-1.0169036090378392,2.3331657197099185,1
MoMac,post,IGHA2,-0.17317837729037788,0.5252450401302423,-0.7844964554399197,-0.005057334779100794,0.1139152076331015,-0.2902684717959884,-0.6163754129286418,1.309741495570162,1
MoMac,post,IGHG1,-0.5361585500390447,0.05385725089604221,-0.3484119712414655,-0.3851006514574911,-0.13543269551904397,-0.15946355407407792,-0.19735407265991012,0.5900158009350869,1
MoMac,post,IGHG3,-0.25618596261102694,0.02768085730264372,-0.371442621161703,-0.047934730264690396,0.10731418073301931,-0.2080276569872529,-0.16319138881536616,0.4787568018947223,1
MoMac,post,IGHG4,-0.31697058322869104,0.00024392564150812378,-0.35879677823044115,-0.24153890630233735,-0.07225430567352341,-0.23931955987717332,-0.28336510130408726,0.35904070387194925,1
MoMac,post,IGHM,-0.09638099203277688,0.21690096889151572,-0.3023800024038883,0.18794720142143595,0.15706082618372721,0.23970808093469662,-0.018051808949676458,0.5420880833385849,1
MoMac,post,IGKC,0.21597328596187867,0.9795705744215975,-0.5161170353267697,-0.13771818939625885,0.1035150487624897,-0.050256113747194645,-0.8698085106849059,1.8493790851065035,1
MoMac,post,IGLC2,-0.16532303387926298,0.3993814713756593,-0.6978272501690729,0.15792807362181938,-0.10035778061400628,-0.38600381098762454,-0.37457614266799216,1.0972087215447321,1
MoMac,post,IGLC3,-0.20532469603646666,0.3448643385693202,-0.41485549209995487,0.12660566121236042,0.07668380716099488,-0.11278369539410713,-0.08292513485112724,0.7597198306692751,1
MoMac,post,ITM2B,-0.6730799102451531,-0.18733544579619688,-0.2288948820232352,0.11150126831553113,-0.48004952825000974,0.17177284385143265,0.5556862965374493,1.2287662067826024,1
MoMac,post,JCHAIN,-0.15205614053457875,0.2862841014798367,-0.38536330936442215,-0.040054785096300005,0.16438008938789642,-0.05554279384752387,-0.27336195392614315,0.6716474108442588,1
MoMac,post,JUN,-0.5706697856906903,-0.18002011512717156,0.3491982610222653,-0.10867579124558475,-0.22650812608557663,0.6139870574796665,0.8111922554673697,1.38186204115806,1
MoMac,post,JUNB,-1.0107598385419196,0.04764662177295501,0.39666131305174673,0.16577339332868868,-0.8238341213788247,0.7810482695804369,1.5731945449223574,2.583954383464277,1
MoMac,post,KRT18,-0.14761088704292444,0.1368716406129183,-0.27577160731533357,-0.137456970677621,0.07111893475038016,-0.08265102291808864,-0.26561769095002985,0.41264324792825186,1
MoMac,post,KRT8,-0.0657722142613423,0.09500633304485347,-0.4804997941689578,0.1258507178881956,0.2994347367030131,-0.25570356548928636,-0.2888768620194201,0.779934530871971,1
MoMac,post,LGALS1,0.697838462699201,0.11454193523357009,-0.0675083247121446,-0.4560617107546188,0.1917752926171404,-0.5891346180199311,-1.221408498165968,1.919246960865169,1
MoMac,post,LGALS3,0.11363275840023444,0.26605332255727837,-0.8680258240115564,-0.12699586992679895,0.22609203019505295,-0.5908938669350083,-1.1086544523385893,1.3747077748958676,1
MoMac,post,LYZ,-1.1818795487007905,-0.7957141776325396,0.016141936972321254,-0.18731652921214276,-1.08100819090388,-0.20478191006258464,1.010704956460968,2.1925845051617587,1
MoMac,post,MALAT1,0.12997375789205778,-0.28098681634140915,0.14581210058677224,0.12776780585443634,0.5621814839277408,-0.15844743068642372,0.1436061485491516,0.8431683002691499,1
MoMac,post,MT-ATP6,0.022983273525767414,-0.16609741459163732,0.0695131806107075,-0.25704263998881055,-0.6765523868279657,-0.19110478520520374,-0.21051273290387088,0.7460655674386732,1
MoMac,post,MT-CO1,0.0017374433108765606,-0.4421541005070676,0.2943878701812064,0.05679061444939398,-0.8347584620068458,-0.0859678928457706,0.3494410413197241,1.1841995033265698,1
MoMac,post,MT-CO2,0.02261443580761736,-0.40045311781886134,-0.0005437555962320392,-0.14535983650400003,-0.7702458888988829,-0.39485863651438957,-0.16851802790784948,0.7928603247065003,1
MoMac,post,MT-CO3,0.23175101447573493,-0.36884765969966193,0.05277253189038736,0.05648221903525579,-0.5469206075275692,-0.5075284952762625,-0.12249626355009181,0.7786716220033041,1
MoMac,post,MT-CYB,0.04651286592970172,-0.3508795347083691,0.131427773534336,0.28639763180203337,-0.8751865880236545,0.052890127936594575,0.371312539406668,1.2464991274303223,1
MoMac,post,MT-ND1,0.13676192238342666,-0.2795492930444842,-0.03499512657777139,0.14707375197890213,-0.4589429201707188,-0.38292138823897043,-0.024683296982295568,0.606016672149621,1
MoMac,post,MT-ND2,-0.1452571733986694,-0.24761826638766224,0.03180162950472817,-0.040813273740785326,-0.7083984980893233,-0.13284770086074363,0.13624552916261232,0.8446440272519357,1
MoMac,post,MT-ND3,-0.07907594236270336,-0.028324467677973787,-0.08299060306247158,0.18882465515140107,-0.6470203649836282,-0.4708739577947305,0.18490999445163295,0.8358450201350294,1
MoMac,post,MT-ND4,0.022640459532181217,-0.36295172549482874,-0.07125990689375,-0.02550362777642056,-0.5319620231477106,-0.3638795575237026,-0.11940399420235169,0.5546024826798918,1
MoMac,post,MT-ND4L,-0.5219396484021763,-0.958763748695555,-0.04415644915224217,-0.036125425673890044,-0.4902104132497072,-0.4642292233918503,0.44165777357604413,1.4004215222715992,1
MoMac,post,MT-ND5,-0.05591558954752196,-0.45188480830990774,0.15142978120701053,0.13321672742311808,-0.5525089139443278,-0.3002352527258872,0.3405620981776506,0.8930710121219784,1
MoMac,post,MT-RNR1,-0.3001915813642248,0.7715374739009119,0.553498248352024,0.23708826852526071,0.13725714028319114,0.9764744716611891,1.0907780982415092,1.390969679605734,1
MoMac,post,MT-RNR2,-0.39636832495052665,1.295360879138872,0.3829248172598723,-0.11228136363769692,0.7891709949857587,0.9311792150370747,0.6670117785727024,1.6917292040893988,1
MoMac,post,MTATP6P1,-0.3949163241274672,-1.2034826095147984,0.25615590741286925,-0.4911668891886322,-0.755485336817303,-0.4638647148571917,0.15990534235170403,1.4596385169276676,1
MoMac,post,MYL12B,0.26144602541831824,0.14733715353107002,-0.1307272502106116,0.06499261971595588,0.06068734783574142,-0.055344189733055785,-0.3271806559129746,0.5886266813312928,1
MoMac,post,MYL6,0.5119014786478078,0.41164747235432364,0.05218135808616388,-0.41510946855769104,-0.12672356029013332,-0.09101065125812668,-0.8748295891193356,1.3867310677671434,1
MoMac,post,NACA,0.07331114737224569,0.2404688501354435,-0.17921384453584002,0.09784072796980912,0.03824380119744403,0.10223431761333297,-0.1546842639382762,0.4196826946712835,1
MoMac,post,NDUFA4,-0.22697428831759917,-0.018499158644219017,-0.3756494014531484,-0.29209197168439827,-0.3523760754326672,-0.31253098477373575,-0.4407670848199475,0.42226792617572845,0
MoMac,post,NFKBIA,0.0825745269683011,-0.6779105424676157,0.9783464831529989,-0.4046820297618798,0.17125340364545968,0.6007373901431752,0.49108992642281707,1.6562570256206146,1
MoMac,post,NPM1,-0.3293318706545886,0.20238884404997098,-0.3355001322332266,-0.07216394128542128,-0.09920763743512827,0.10382555127300616,-0.07833220286405922,0.5378889762831975,1
MoMac,post,OAZ1,0.12177460833372755,0.29455049358190283,0.019065550253247205,-0.04941846731834959,-0.09439347261585027,0.22459985500811352,-0.15212752539882987,0.44667801898073267,1
MoMac,post,PABPC1,-0.045058006223118285,0.11749179852120337,0.13161989882206,0.26775563331368574,-0.20304556659274148,0.3157214693412786,0.4444335383588637,0.6474791049516051,1
MoMac,post,PFN1,0.2032744422150578,0.07256693437884666,0.3404565667570317,-0.5259646418865623,-0.48131430662261016,0.2626195402019579,-0.3887825173445894,0.8664212086435941,1
