cell,phase,spec,formula,source,n_ref_cells,n_test_cells,n_genes_tested,n_samples,n_genes_fit,converged_C,converged_D,na_coefC,na_coefD,n_genes_returned,nfkb_nes,nfkb_nom_p,nfkb_fdr_q,nfkb_rank,n_sets,minutes,status
Fibroblast,pre,dep,~ condition + sample_id + cngeneson,Fibroblast.h5ad,1109,679,6801,8,6801.0,6801.0,6801.0,0.0,0.0,6801,-1.3874070161753906,0.0754189944134078,0.524314730822323,45,49,10.16,ok
Mast_cells,post,A,~ condition + cngeneson,mast_cell_integrated.h5ad,831,808,2270,11,2270.0,2270.0,2270.0,0.0,0.0,2270,1.2622475448941326,0.1166666666666666,1.0,3,40,3.56,ok
Mast_cells,post,A0,~ condition,mast_cell_integrated.h5ad,831,808,2270,11,2270.0,2270.0,2270.0,0.0,0.0,2270,1.289061907677013,0.0865921787709497,0.8916716958358479,3,40,1.79,ok
Mast_cells,post,B,~ condition + cngeneson + (1 | sample_id),mast_cell_integrated.h5ad,831,808,2270,11,2270.0,2270.0,2265.0,0.0,5.0,2265,1.5773420964407323,0.0029717682020802,0.1388315015287992,1,40,10.96,ok
Mast_cells,post,T,Welch t-test,mast_cell_integrated.h5ad,831,808,2270,11,,,,,,2270,1.375037662526419,0.0196353436185133,0.5033341929779317,3,40,0.06,ok
Mast_cells,post,dep,~ condition + sample_id + cngeneson,mast_cell_integrated.h5ad,831,808,2270,11,2270.0,2270.0,2270.0,0.0,0.0,2270,-1.74776550303671,0.0,0.0,40,40,4.74,ok
Mast_cells,pre,A,~ condition + cngeneson,mast_cell_integrated.h5ad,380,799,2288,8,2288.0,2288.0,2288.0,0.0,0.0,2288,-1.4782690536933665,0.031858407079646,0.1416491776074967,37,40,0.46,ok
Mast_cells,pre,A0,~ condition,mast_cell_integrated.h5ad,380,799,2288,8,2288.0,2288.0,2288.0,0.0,0.0,2288,-1.735790801692966,0.0,0.0,40,40,2.14,ok
Mast_cells,pre,B,~ condition + cngeneson + (1 | sample_id),mast_cell_integrated.h5ad,380,799,2288,8,2288.0,2288.0,2283.0,0.0,5.0,2283,-1.74949100118062,0.0016666666666666,0.0155709597186042,38,40,10.01,ok
Mast_cells,pre,T,Welch t-test,mast_cell_integrated.h5ad,380,799,2288,8,,,,,,2288,-1.5143536700776807,0.0,0.0123631680618158,40,40,0.05,ok
Mast_cells,pre,dep,~ condition + sample_id + cngeneson,mast_cell_integrated.h5ad,380,799,2288,8,2288.0,2288.0,2288.0,0.0,0.0,2288,-1.7075986437022193,0.0,0.0,40,40,5.26,ok
MoMac,post,A,~ condition + cngeneson,MoMac.h5ad,2512,8628,4693,11,4693.0,4693.0,4693.0,0.0,0.0,4693,1.735595894941815,0.0,0.0,1,43,16.36,ok
MoMac,post,A0,~ condition,MoMac.h5ad,2512,8628,4693,11,4693.0,4693.0,4693.0,0.0,0.0,4693,1.9431065916493893,0.0,0.0,1,43,6.35,ok
MoMac,post,B,~ condition + cngeneson + (1 | sample_id),MoMac.h5ad,2512,8628,4693,11,4693.0,4692.0,4692.0,0.0,1.0,4692,2.3799150121259967,0.0,0.0,1,43,78.16,ok
MoMac,post,T,Welch t-test,MoMac.h5ad,2512,8628,4693,11,,,,,,4693,2.2283340056431222,0.0,0.0,1,43,1.17,ok
