cell,phase,spec_a,spec_b,n_genes,spearman_logFC,pearson_logFC,spearman_rankmetric,pct_same_sign_logFC
DC_cells,post,A,B,6380,0.9513108600852594,0.9481039417921381,0.9471432493182745,94.1692789968652
DC_cells,post,A,T,6391,0.9383645783502682,0.796481914629908,0.966907439029324,89.23486152401814
DC_cells,post,B,T,6380,0.9166952370807896,0.7849496070619675,0.9465172379398017,89.20062695924766
Endothelial_cells,pre,dep,A0,6501,0.0665642951452144,-0.016037175812781482,0.04795973955384152,54.17628057221966
Endothelial_cells,pre,dep,A,6501,0.06361958103977661,-0.03578974096689409,0.05866342578394994,52.08429472388863
Endothelial_cells,pre,dep,B,6499,0.23001737735586328,0.22392210787709438,0.22604871836577511,57.45499307585783
Endothelial_cells,pre,dep,T,6501,0.10052191912595662,0.015149855551592116,0.09899086592929242,54.16089832333487
Endothelial_cells,pre,A0,A,6501,0.7154371321140531,0.8404470500490349,0.7121366867443903,72.18889401630518
Endothelial_cells,pre,A0,B,6499,0.6454993137060396,0.6457275468198042,0.6468653216942213,65.59470687798122
Endothelial_cells,pre,A0,T,6501,0.8061910810304791,0.7510878135596006,0.8832673680350506,99.98461775111521
Endothelial_cells,pre,A,B,6499,0.8723707047282845,0.7791642279383274,0.87240643789429,86.52100323126635
Endothelial_cells,pre,A,T,6501,0.8877685434760977,0.7973796642528586,0.871482233917458,72.1735117674204
Endothelial_cells,pre,B,T,6499,0.8324025191809683,0.5910023723698883,0.8271911797124923,65.57931989536851
Endothelial_cells,post,dep,A0,5550,0.33096940977137973,0.3930498553122755,0.32465754929418483,60.97297297297297
Endothelial_cells,post,dep,A,5550,0.3576620550486171,0.42911395310703065,0.3449334051787398,61.83783783783784
Endothelial_cells,post,dep,B,5549,0.3300727458412619,0.42361682808354517,0.32260666599677995,60.821769688232116
Endothelial_cells,post,dep,T,5550,0.35252167471778745,0.35654674287805077,0.3348570492912025,61.009009009009006
Endothelial_cells,post,A0,A,5550,0.9588500887015167,0.9697330746769259,0.9502724801997746,89.04504504504504
Endothelial_cells,post,A0,B,5549,0.9012618673896925,0.8886513636373692,0.8933127201908693,87.94377365291044
Endothelial_cells,post,A0,T,5550,0.9521975537009407,0.8135622740708683,0.9828596565528045,99.96396396396396
Endothelial_cells,post,A,B,5549,0.9100317490521821,0.9076661407103667,0.9111940799510323,91.22364389980177
Endothelial_cells,post,A,T,5550,0.9527627489100979,0.8240349889815244,0.9724617682235212,89.08108108108108
Endothelial_cells,post,B,T,5549,0.883091008905737,0.7432738735364239,0.9114404482977475,87.94377365291044
Epithelial,pre,dep,A0,4085,0.11062550163084006,0.1863523340611589,0.093401334983938,52.63157894736842
Epithelial,pre,dep,A,4085,0.11484705028562985,0.20718838708008241,0.10083206622010928,51.52998776009792
Epithelial,pre,dep,B,4084,0.35150088641365557,0.37295898563831575,0.34044406966640567,62.24289911851126
Epithelial,pre,dep,T,4085,0.12223169174653851,0.12750966196058125,0.11566026518243995,52.63157894736842
Epithelial,pre,A0,A,4085,0.9654701967465226,0.9721071019713533,0.971739153637285,85.38555691554468
Epithelial,pre,A0,B,4084,0.7516735356936318,0.752582316439624,0.7591355069381237,78.30558276199804
Epithelial,pre,A0,T,4085,0.9616239763243561,0.844305837500843,0.9763904345491172,100.0
Epithelial,pre,A,B,4084,0.7933144132947368,0.8016249953718411,0.7911116433266807,80.77864838393731
Epithelial,pre,A,T,4085,0.9516034416780693,0.8316080140029254,0.9726747247778006,85.38555691554468
Epithelial,pre,B,T,4084,0.7592826146742364,0.584332581032589,0.7775175061642106,78.30558276199804
Epithelial,post,dep,A0,3640,-0.007203184782430766,0.03694311930883784,-0.0054886784883821016,50.16483516483517
Epithelial,post,dep,A,3640,0.0045235300585821005,0.043996411058833396,-0.009206438525522068,48.708791208791204
Epithelial,post,dep,B,3640,0.08342290805335914,0.19511294550304736,0.09624443769917153,52.197802197802204
Epithelial,post,dep,T,3640,0.011325738244547969,0.06396347407932025,0.000498973508639688,50.16483516483517
Epithelial,post,A0,A,3640,0.9857957884089693,0.9888955145953398,0.9864849013647402,91.07142857142857
Epithelial,post,A0,B,3640,0.6414144376979025,0.6334105171795151,0.656919332152892,75.38461538461539
Epithelial,post,A0,T,3640,0.9674872599628156,0.8523780461557429,0.990887621878673,100.0
Epithelial,post,A,B,3640,0.6603899364620953,0.6472409405289807,0.6761127025740242,76.56593406593407
Epithelial,post,A,T,3640,0.9623435099309118,0.8654099718087436,0.9836972876613924,91.07142857142857
Epithelial,post,B,T,3640,0.6451933475005874,0.5372723236089549,0.6673173724057527,75.38461538461539
Fibroblast,pre,dep,A0,6801,0.06426089919001926,0.025778802080971774,0.05782703372305542,57.079841199823555
Fibroblast,pre,dep,A,6801,0.22852533443689693,0.1982237060223617,0.21674238590595393,59.476547566534336
Fibroblast,pre,dep,B,6797,0.22185191018996595,0.20971665741988468,0.21359120593675066,57.260556127703396
Fibroblast,pre,dep,T,6801,0.08937514239966833,0.02882614566058776,0.08488800324384234,57.05043375974122
