nhood,x,y,Nhood_size,logFC,SpatialFDR,graph_color
144,-0.5448504090309143,6.390780925750732,30.0,-0.664207632827535,0.9647636786647844,-0.664207632827535
145,-2.455704927444458,9.48179817199707,32.0,-0.15207434311859594,0.9954581155312646,-0.15207434311859594
146,0.4566606879234314,5.172216415405273,96.0,-0.0355263920627398,0.9954581155312646,-0.0355263920627398
147,1.4119008779525757,1.998073697090149,123.0,-0.014663661456357831,0.9965634755887899,-0.014663661456357831
148,-1.1615772247314453,-4.137665748596191,54.0,0.678182178100806,0.9647636786647844,0.678182178100806
149,1.5405607223510742,-3.9758102893829346,56.0,-0.6736309409297124,0.9647636786647844,-0.6736309409297124
150,1.0003622770309448,-1.8980380296707153,33.0,1.1367456744931885,0.9647636786647844,1.1367456744931885
151,1.4410722255706787,-0.01179270539432764,36.0,-1.641242890982934,0.9647636786647844,-1.641242890982934
152,1.2968336343765259,2.775940179824829,146.0,-1.1981706814347823,0.9647636786647844,-1.1981706814347823
153,-0.870052695274353,5.901285648345947,37.0,-0.13401106874559943,0.9954581155312646,-0.13401106874559943
154,2.2865641117095947,3.770953416824341,20.0,-0.43607454252279776,0.9954581155312646,-0.43607454252279776
155,1.4534372091293335,3.9975786209106445,96.0,-0.11884122927142035,0.9954581155312646,-0.11884122927142035
156,0.08770816773176193,-1.520461916923523,52.0,2.024535600285723,0.9647636786647844,2.024535600285723
157,3.0536744594573975,0.34994959831237793,53.0,-2.1928885668583113,0.9647636786647844,-2.1928885668583113
158,-2.9512720108032227,9.024703979492188,26.0,-2.2358667621560238,0.9647636786647844,-2.2358667621560238
159,3.253178358078003,2.3732004165649414,69.0,-1.6940054758130947,0.9647636786647844,-1.6940054758130947
160,0.5260797739028931,4.727577209472656,77.0,-0.5806927740289325,0.9647636786647844,-0.5806927740289325
161,4.3344550132751465,0.6127833127975464,31.0,-1.0353749016839242,0.9647636786647844,-1.0353749016839242
162,-1.5782617330551147,-0.9102506041526794,90.0,-0.8967358297232937,0.9647636786647844,-0.8967358297232937
163,-0.0980895459651947,7.001000881195068,77.0,-1.105800846367125,0.9647636786647844,-1.105800846367125
164,-0.8458425998687744,0.027726346626877785,72.0,-0.0820895042984925,0.9954581155312646,-0.0820895042984925
165,-2.892735242843628,9.393831253051758,51.0,-1.578702107151365,0.9647636786647844,-1.578702107151365
166,1.121522307395935,5.048671722412109,103.0,-0.6034149930131301,0.9647636786647844,-0.6034149930131301
167,0.7609888315200806,3.5344250202178955,108.0,0.057021310484264696,0.9954581155312646,0.057021310484264696
168,-0.5135747790336609,7.343301773071289,62.0,-0.13585844294826793,0.9954581155312646,-0.13585844294826793
169,-2.807420015335083,-1.9300402402877808,46.0,0.28786635939530875,0.9954581155312646,0.28786635939530875
170,4.0046515464782715,-0.5870351791381836,18.0,-2.8793272122814444,0.9647636786647844,-2.8793272122814444
171,-1.2443385124206543,-0.8089030981063843,38.0,-0.2335172595114919,0.9954581155312646,-0.2335172595114919
172,-4.0817060470581055,3.4287259578704834,31.0,1.1014893522696345,0.9647636786647844,1.1014893522696345
173,0.2834905683994293,8.361872673034668,54.0,-0.9454673728839376,0.9647636786647844,-0.9454673728839376
174,-4.240829944610596,9.85013198852539,19.0,-0.3955537266233686,0.9954581155312646,-0.3955537266233686
175,-1.6303237676620483,-2.714618444442749,22.0,0.22064202727188637,0.9954581155312646,0.22064202727188637
176,1.2112836837768555,-4.820374011993408,24.0,1.0167698309707272,0.9647636786647844,1.0167698309707272
177,-1.7664148807525635,-0.2678336501121521,52.0,1.361600971470887,0.9647636786647844,1.361600971470887
178,-2.202157735824585,0.5379059314727783,35.0,0.19763300046000556,0.9954581155312646,0.19763300046000556
179,-0.15289783477783203,-4.81151819229126,28.0,0.7557704444655766,0.9647636786647844,0.7557704444655766
180,0.896131694316864,8.114876747131348,28.0,-0.6280151892304604,0.9647636786647844,-0.6280151892304604
181,-0.6872156262397766,6.253813743591309,70.0,-0.6696392737684574,0.9647636786647844,-0.6696392737684574
182,-2.5545499324798584,-1.5240970849990845,20.0,0.7939390846142036,0.9647636786647844,0.7939390846142036
183,-2.369081497192383,7.167211532592773,135.0,-0.814676517037266,0.9647636786647844,-0.814676517037266
184,-0.010313425213098526,-4.273670196533203,86.0,0.31497819068323285,0.9954581155312646,0.31497819068323285
185,2.423835515975952,-0.7708948850631714,57.0,-2.4678221872056505,0.9647636786647844,-2.4678221872056505
186,0.6431397199630737,7.768895626068115,52.0,-1.2739236158840974,0.9647636786647844,-1.2739236158840974
187,-0.23074762523174286,8.432869911193848,78.0,-0.06340965156376217,0.9954581155312646,-0.06340965156376217
188,-1.4609014987945557,9.088513374328613,58.0,-1.8227707196624567,0.9647636786647844,-1.8227707196624567
189,0.6635990142822266,8.909278869628906,37.0,-1.802326087824512,0.9647636786647844,-1.802326087824512
190,-0.18673142790794373,6.509770393371582,100.0,-1.6406668677303822,0.9647636786647844,-1.6406668677303822
191,0.8848498463630676,7.8054399490356445,79.0,-1.1288496403381247,0.9647636786647844,-1.1288496403381247
192,1.1860852241516113,5.430215835571289,53.0,-1.8677962292566452,0.9647636786647844,-1.8677962292566452
193,2.1964166164398193,2.1085546016693115,64.0,-1.3089604464885733,0.9647636786647844,-1.3089604464885733
194,0.9787918925285339,-4.326571464538574,40.0,0.08229950418756125,0.9954581155312646,0.08229950418756125
195,-0.0069821723736822605,8.555363655090332,144.0,-1.0534907803949562,0.9647636786647844,-1.0534907803949562
196,2.5387561321258545,8.982224464416504,38.0,-1.8716221628860983,0.9647636786647844,-1.8716221628860983
197,-0.8858797550201416,9.522343635559082,122.0,-0.8405032659147426,0.9647636786647844,-0.8405032659147426
198,-1.606270432472229,5.797205448150635,53.0,-0.30698228334836725,0.9954581155312646,-0.30698228334836725
199,0.25274384021759033,-3.0370728969573975,62.0,0.22133237645211623,0.9954581155312646,0.22133237645211623
