group,gene,mean_scaled,fraction
MAIT,LAG3,0.2715422809123993,0.29821843532145625
MAIT,ISG15,0.07588876783847809,0.29434546862896976
Tcm,CCL4,0.0,0.2719298245614035
Tcm,CCL5,0.0,0.6798245614035088
Tcm,DUSP1,0.3649928569793701,0.5789473684210527
Tcm,JUN,0.34358131885528564,0.8406432748538012
Tcm,KLRB1,0.0855855867266655,0.17982456140350878
Tcm,SLC4A10,0.0206132922321558,0.005847953216374269
Tcm,CCR7,1.0,0.3026315789473684
Tcm,SELL,1.0,0.2543859649122807
Tcm,KLRG1,0.01987283304333687,0.054093567251461985
Tcm,CX3CR1,0.006513487081974745,0.0029239766081871343
Tcm,MKI67,0.00381301692686975,0.03070175438596491
Tcm,TOP2A,0.026336487382650375,0.024853801169590642
Tcm,PDCD1,0.08247648179531097,0.06871345029239766
Tcm,HAVCR2,0.020810987800359726,0.04678362573099415
Tcm,LAG3,0.0,0.15789473684210525
Tcm,ISG15,0.0,0.2222222222222222
TEMRA,CCL4,0.7120965123176575,0.6710310965630114
TEMRA,CCL5,0.9484758377075195,0.9770867430441899
TEMRA,DUSP1,0.19281718134880066,0.4582651391162029
TEMRA,JUN,0.09959370642900467,0.7741407528641571
TEMRA,KLRB1,0.0,0.11129296235679215
TEMRA,SLC4A10,0.005882236175239086,0.0016366612111292963
TEMRA,CCR7,0.0,0.01309328968903437
TEMRA,SELL,0.2589007019996643,0.08346972176759411
TEMRA,KLRG1,1.0,0.19148936170212766
TEMRA,CX3CR1,1.0,0.16039279869067102
TEMRA,MKI67,0.006832514423877001,0.03436988543371522
TEMRA,TOP2A,0.016595495864748955,0.019639934533551555
TEMRA,PDCD1,0.0,0.03600654664484452
TEMRA,HAVCR2,0.0,0.03764320785597381
TEMRA,LAG3,0.08295156806707382,0.18657937806873978
TEMRA,ISG15,0.055105362087488174,0.24877250409165302
Proliferating,CCL4,0.6501930356025696,0.6673076923076923
Proliferating,CCL5,0.5397086143493652,0.9051282051282051
Proliferating,DUSP1,0.0903157964348793,0.48653846153846153
Proliferating,JUN,0.029008783400058746,0.8391025641025641
Proliferating,KLRB1,0.0006552202394232154,0.14294871794871794
Proliferating,SLC4A10,0.022297928109765053,0.009615384615384616
Proliferating,CCR7,0.06358174234628677,0.05448717948717949
Proliferating,SELL,0.25964635610580444,0.12628205128205128
Proliferating,KLRG1,0.19465292990207672,0.1064102564102564
Proliferating,CX3CR1,0.0790613442659378,0.021153846153846155
Proliferating,MKI67,1.0,0.7307692307692307
Proliferating,TOP2A,1.0,0.5576923076923077
Proliferating,PDCD1,0.3257908225059509,0.20192307692307693
Proliferating,HAVCR2,0.3969824016094208,0.23525641025641025
Proliferating,LAG3,0.4378760755062103,0.42756410256410254
Proliferating,ISG15,0.1824088990688324,0.43012820512820515
Tex,CCL4,0.9041346311569214,0.767065868263473
Tex,CCL5,0.8493554592132568,0.9586826347305389
Tex,DUSP1,0.3979340195655823,0.6029940119760479
Tex,JUN,0.317025363445282,0.8730538922155688
Tex,KLRB1,0.24124488234519958,0.3203592814371258
Tex,SLC4A10,0.01497303880751133,0.004191616766467066
Tex,CCR7,0.04863077402114868,0.03053892215568862
Tex,SELL,0.03629237785935402,0.03952095808383234
Tex,KLRG1,0.0,0.05089820359281437
Tex,CX3CR1,0.00026159785920754075,0.0011976047904191617
Tex,MKI67,0.039929307997226715,0.06946107784431138
