,C0_CD4_Treg_FOXP3,C0_CD8_Cytotoxic_CCL,C0_Mac_Classic_TREM2,C0_Mast,C0_NK_FGFBP2,C0_Neu_S100A12,C1_B_Memory_NR4A1,C1_CD4_Tem_IL7R,C1_CD8_Cytotoxic_DUSP1,C1_DC_Conventional_S100A4_high,C1_Mast,C1_Mono_Classic_CD14,C1_NK_CD69,C1_Neu_MMP9,C2_B_Memory_IGHA1,C2_CD4_Tcm_CCR7,C2_CD8_MAIT_KLRB1,C2_DC_Activated_IL1B_high,C2_Mast,C2_MoMac_Intermediate_HLA-DRA,C2_NKT_CD3D,C2_Neu_TAGLN2,C3_B_Naive_NR4A1,C3_CD4_GZMB,C3_CD8_Tcm_CCR7,C3_DC_CCR7+,C3_Mac_Inflam_IL1B,C3_Mast,C3_Neu_CXCL8,C3_Prolif_MKI67,C4_B_Naive_TCL1A,C4_CD4_Tfh_PDCD1,C4_CD8_Temra_KLRG1,C4_DC_C1Q+_STMN1-,C4_Mast,C4_Mono_Alternative_CD16,C4_Neu_IFIT3,C5_B_Aged,C5_CD4_Prolif_MKI67,C5_CD8_Prolif_MKI67,C5_DC_WDFY4+,C5_Mac_Prolif_MKI67,C5_Neu_G0S2,C6_B_Germinal_Center,C6_CD4_GZMK,C6_CD8_Tex_PDCD1,C6_DC_C1Q+_STMN1+,C6_Mac_Metallothionein_MT1G,C6_Neu_CD74,C7_CD4_ISG,C7_CD8_ISG_ISG15,C7_DC_LTB+,C7_Neu_IGKC,C8_CD4_Temra_KLRG1,C9_CD4_Th17_IL17A,C0_Plasma
C1_Mast,0.23057184750733137,-0.15835777126099707,0.13636363636363635,0.3997800401723074,-0.26502932551319647,-0.22204161735510405,0.4555129415819134,0.5593841642228738,0.42008797653958946,-0.10043988269794721,1.0,-0.31414956011730205,0.014296187683284457,-0.3210272739788598,0.13526392961876832,0.11326979472140762,0.40689149560117305,0.39882697947214074,0.23285663465150494,-0.156524926686217,-0.04288856304985337,-0.20016063227089473,0.3673826135803375,0.21077712609970675,0.22930987173569764,-0.039222873900293255,-0.3680351906158358,0.16642985905487356,-0.3086510263929619,-0.17849943300813603,0.11722624634347269,0.3885630498533724,-0.06634897360703812,0.5379538315492248,0.4774201747498378,-0.2467008797653959,-0.10103149048883062,0.28215018290494676,-0.07661290322580645,-0.37683284457478006,0.3935059442985116,0.24303519061583578,-0.16038859933551994,0.1919990740249149,0.13563049853372433,-0.18218475073313783,0.3116978574075263,-0.021079644484096906,-0.15903104984352967,-0.025845477150066642,0.050219941348973604,0.3636031615849184,-0.07391782315280064,-0.049871657185204206,0.2368035190615836,0.2060117302052786
C1_Mono_Classic_CD14,0.0344574780058651,-0.014296187683284457,0.28775659824046923,-0.12427825182798001,0.36766862170087977,0.08524313558142302,-0.45991580529434434,-0.17925219941348974,-0.2254398826979472,0.1975806451612903,-0.31414956011730205,1.0,0.17045454545454544,0.07606745964073862,-0.26429618768328444,0.1184017595307918,0.07441348973607038,0.3310117302052786,0.20022003546412864,0.7584310850439883,-0.23790322580645162,0.010008031613544736,-0.26551576276777145,-0.045087976539589444,-0.04344239776287797,0.4186217008797654,0.8343108504398827,-0.38289987617747084,0.1059384164222874,0.045129353052416714,-0.27389481344413885,-0.15469208211143695,0.16055718475073313,-0.24385773550118234,0.0018533391876934696,0.717741935483871,-0.245469102817307,-0.40286202968742724,0.22983870967741934,0.28262463343108507,0.23426904003226076,0.16165689149560117,0.04307579525011107,-0.20338241833469248,-0.05535190615835777,0.13599706744868034,-0.041070776505462286,0.34185684315513676,-0.12348293281968187,0.18568417271643622,0.039222873900293255,-0.30122925899214736,-0.3855862565955795,0.20315366235737597,-0.013563049853372434,-0.6154692082111437
C1_NK_CD69,0.33944281524926684,0.06708211143695014,-0.22067448680351906,-0.36311978889561713,0.3053519061583578,-0.5109004523384414,-0.08493857911897942,0.4468475073313783,0.5890762463343109,-0.2723607038123167,0.014296187683284457,0.17045454545454544,1.0,-0.4243961733421407,-0.34824046920821117,0.030058651026392963,0.21957478005865103,0.4640762463343108,0.03483681935731176,0.20087976539589442,0.2701612903225806,-0.4318280307325784,-0.12705775074274936,0.25733137829912023,-0.05847310078632098,0.09494134897360704,0.24193548387096775,-0.26465683600262746,-0.41312316715542524,0.17629800115192057,-0.4019447664140042,0.20784457478005866,0.46994134897360706,-0.1796846472113975,-0.21165133523459423,0.004398826979472141,-0.502912308211068,-0.19556052989380576,0.4149560117302053,0.36766862170087977,0.03760779421034726,0.0,-0.41316103188829933,-0.1718884990776412,0.1975806451612903,0.2562316715542522,0.13458013372772018,-0.10943085006092046,-0.5534280534554833,0.20676381720053313,0.3247800586510264,-0.19867922502344432,-0.5330541525372364,0.14961497155561262,0.5036656891495601,0.0018328445747800588
C1_Neu_MMP9,-0.29410240583869734,-0.2479723869971603,-0.13857834231580105,-0.13783783149597875,-0.2400643837671825,0.8826706533303437,-0.21531392541102504,-0.48502419810530367,-0.5689996609760201,-0.15251149086385712,-0.3210272739788598,0.07606745964073862,-0.4243961733421407,1.0,-0.09263660926545396,-0.23855809743766293,-0.24552467171169098,-0.2700018245663841,-0.21058072105013279,-0.011862004844966665,-0.4515093272734931,0.9273954216993542,-0.015205857113219503,-0.3037049811893846,-0.20261408017714908,-0.033703156623000524,0.11749033370252697,0.0137081647223062,0.8971817950200978,-0.4330778123365738,0.08593711158636973,-0.24420667117336134,-0.36904015073229623,-0.0463352928249845,0.025131635324228033,-0.061192882136732796,0.7974406023304975,-0.017903564913827028,-0.13763691335985132,-0.10544004306637036,-0.2552671439555653,-0.13104691066820315,0.9275808168704799,0.12220193191022512,-0.4031198789376767,0.03822201561155925,-0.07213990712182546,0.05686752064451582,0.8093570442067306,-0.17295635003969465,-0.20184236815562326,-0.17912987842729042,0.6157899899266532,-0.06950293923747675,-0.23065009420768517,-0.41498188378264333
C2_B_Memory_IGHA1,0.16678885630498533,0.03482404692082111,-0.31085043988269795,0.3830996258414133,-0.13563049853372433,-0.04485501239109814,0.7668320965817149,0.09567448680351906,-0.10813782991202346,0.1158357771260997,0.13526392961876832,-0.26429618768328444,-0.34824046920821117,-0.09263660926545396,1.0,0.3181818181818182,0.014296187683284457,-0.3060850439882698,-0.01576824455120427,-0.5777126099706745,0.045087976539589444,-0.0789522493957418,0.5799423239401325,0.050586510263929615,0.3935477974552701,-0.04912023460410557,-0.37609970674486803,0.4922468882513855,-0.12609970674486803,0.0414602999587243,0.8723173730253718,0.3596041055718475,-0.11033724340175953,0.20352036571903187,0.1779205620185731,-0.11473607038123167,0.013470865398510749,0.6543756192600424,-0.0593841642228739,-0.26796187683284456,-0.17006061089264346,-0.0531524926686217,-0.1514068377727308,0.6264633818480919,0.2716275659824047,-0.17998533724340177,-0.03997066642049455,0.03794336007137443,0.16576648254278506,-0.03446063620008885,-0.056818181818181816,0.3162723766762862,0.22230509500431836,0.07810781603270953,-0.08431085043988269,0.21077712609970675
C2_CD4_Tcm_CCR7,0.7609970674486803,0.5366568914956011,0.06524926686217009,0.5856475141451271,0.5949413489736071,-0.17551152151371593,0.04366173181493975,0.3181818181818182,-0.016495601173020527,0.6165689149560117,0.11326979472140762,0.1184017595307918,0.030058651026392963,-0.23855809743766293,0.3181818181818182,1.0,0.4864369501466276,0.06158357771260997,0.5225522903596764,0.12756598240469208,0.24083577712609971,-0.231296730624145,-0.12908037774444292,0.625366568914956,0.6589680166985076,0.48607038123167157,-0.08504398826979472,-0.17384321580564746,-0.1059384164222874,0.479912144654968,0.1357549644666194,0.5469208211143695,0.43621700879765396,0.13714705725931156,0.40032126454178946,0.2903225806451613,-0.2585657775103036,0.06861129285204817,0.5359237536656891,0.32404692082111436,0.014492759720085043,0.2628299120234604,-0.2839336461379661,0.1597462651472118,0.7005131964809385,0.24413489736070382,0.3439677532332467,0.288332876291169,-0.25669482398273263,0.6314728282409899,0.4750733137829912,0.1748303799144436,-0.2918099137897876,0.6648331946821708,0.4897360703812317,-0.32697947214076245
C2_CD8_MAIT_KLRB1,0.5626832844574781,0.37719941348973607,0.09347507331378299,0.44395564296071915,0.43218475073313783,-0.2285558307728984,-0.08108607337060239,0.375,0.2250733137829912,0.29472140762463345,0.40689149560117305,0.07441348973607038,0.21957478005865103,-0.24552467171169098,0.014296187683284457,0.4864369501466276,1.0,0.2906891495601173,0.39860655411997775,0.10777126099706745,0.2595307917888563,-0.13529376070162327,-0.10719923108975815,0.7030791788856305,0.4291082411936596,0.2060117302052786,-0.1660557184750733,-0.2805955530167913,-0.0469208211143695,0.343973727533664,-0.07062927205357901,0.32038123167155425,0.4281524926686217,0.2951962061330102,0.32618769703405065,0.17595307917888564,-0.27914626631358386,-0.13245281668229622,0.24780058651026393,0.11436950146627566,0.30856736517953215,0.20124633431085043,-0.19448263302284188,-0.011762789120103482,0.5135630498533724,0.18804985337243402,0.3832050129304294,-0.13545962846737056,-0.37830680327484356,0.44890477688307234,0.4604105571847507,0.23903880905406089,-0.3699568661279475,0.47231392981281634,0.48863636363636365,-0.22690615835777125
C2_DC_Activated_IL1B_high,0.28519061583577715,-0.16055718475073313,0.18475073313782991,0.061772523401223106,0.125366568914956,-0.30579578986960265,-0.10897087688266476,0.47617302052785926,0.30791788856304986,0.12316715542521994,0.39882697947214074,0.3310117302052786,0.4640762463343108,-0.2700018245663841,-0.3060850439882698,0.06158357771260997,0.2906891495601173,1.0,0.2948295027713543,0.4112903225806452,-0.23350439882697946,-0.2865262384174104,0.0020226270016935497,0.21664222873900293,-0.10796444000985285,0.34824046920821117,0.41715542521994137,-0.20979799604690075,-0.27052785923753664,-0.1880389710517363,-0.3115026076544861,0.15542521994134897,0.19794721407624633,0.10597727151855894,0.2375980838623028,0.19318181818181818,-0.4063711061884076,-0.2142727006716371,0.3192815249266862,0.1909824046920821,0.5074300428576611,0.3222140762463343,-0.19246631920262391,-0.11041843980484237,0.0689149560117302,0.027126099706744868,0.45874590543154753,-0.07716982893743302,-0.2903719874790095,0.16643754079617382,0.10043988269794721,0.17152823213012044,-0.5330541525372364,0.027136048762537585,0.47250733137829914,-0.28262463343108507
C2_Mast,0.34726808348814986,0.07224056224621492,0.4418775507953755,0.6219859041549808,0.40704073143806374,-0.31875496340674625,-0.10222060642646935,0.10451045807193529,-0.17528420687152654,0.3703703952724724,0.23285663465150494,0.20022003546412864,0.03483681935731176,-0.21058072105013279,-0.01576824455120427,0.5225522903596764,0.39860655411997775,0.2948295027713543,1.0,0.3736707255273756,-0.06233957148150526,-0.18836832410226279,-0.1819192531406601,0.14191420096083845,0.3014577908109636,0.19911992537916093,0.12834617657956965,0.05376654920241753,-0.0018335168082795664,0.07983117378009726,-0.1473665115986623,0.2563256497974834,0.12834617657956965,0.34556126192223036,0.483157335246552,0.198753222017505,-0.30545160529281606,-0.04404478553384676,0.4580124987082357,0.16061607240529002,-0.011745276142359136,0.7238724359087728,-0.28403778465096263,0.05010508529738663,0.1404473875142148,-0.10414375471027937,0.5231107850330154,0.21270744363790617,-0.2369495908705301,0.5453378770509767,0.3116978574075263,0.23288680351021473,-0.32778575237275664,0.011371973587674248,0.1958195951242577,-0.19361937495432222
C2_MoMac_Intermediate_HLA-DRA,-0.011363636363636364,0.04435483870967742,0.5832111436950147,0.017963523125578234,0.42302052785923755,-0.017309195652996375,-0.6703360002176044,-0.10960410557184751,-0.18695014662756598,0.3196480938416422,-0.156524926686217,0.7584310850439883,0.20087976539589442,-0.011862004844966665,-0.5777126099706745,0.12756598240469208,0.10777126099706745,0.4112903225806452,0.3736707255273756,1.0,-0.29105571847507333,-0.03410144105355984,-0.5144827591580502,0.020894428152492667,-0.1699202646674594,0.2873900293255132,0.7052785923753666,-0.594551211412065,0.12866568914956011,0.011374064590446488,-0.596954938343756,-0.2437683284457478,0.25109970674486803,-0.08580858662748371,-0.08970161668436392,0.6825513196480938,-0.2780236941970413,-0.5481565321976469,0.28519061583577715,0.2591642228739003,0.21078710023262928,0.3552052785923754,0.021262945740480356,-0.46178433416664316,-0.08211143695014662,-0.021994134897360705,0.15071508164058037,0.22857666671016383,-0.2585657775103036,0.24287416470807305,0.10740469208211144,-0.23518630330568385,-0.4585847038385194,0.05023836054686012,0.1158357771260997,-0.5153958944281525
C2_NKT_CD3D,0.2540322580645161,0.6605571847507331,-0.12756598240469208,0.13949225610780647,0.39552785923753664,-0.31863809632182577,0.0011007159281077247,0.07074780058651027,0.36107038123167157,0.10997067448680352,-0.04288856304985337,-0.23790322580645162,0.2701612903225806,-0.4515093272734931,0.045087976539589444,0.24083577712609971,0.2595307917888563,-0.23350439882697946,-0.06233957148150526,-0.29105571847507333,1.0,-0.3336010537848245,-0.2745256466844064,0.28848973607038125,0.3422234456679037,0.09494134897360704,-0.41348973607038125,-0.01705072052677992,-0.3914956011730205,0.5894333795016866,-0.05778758622565555,0.10483870967741936,0.5271260997067448,0.03887055633552681,0.11045901558653079,-0.11620234604105571,-0.22675956754159762,-0.12328018394806517,0.03848973607038123,0.21151026392961877,0.02568337165584691,-0.2155425219941349,-0.44468884798625297,-0.14798347602710832,0.4897360703812317,0.39846041055718473,0.033736709272344026,-0.1548895616440164,-0.3790551846858719,0.23242599309421633,0.4629765395894428,0.06017247073655562,-0.03181040648118037,0.4213421625426444,0.0971407624633431,0.45491202346041054
C2_Neu_TAGLN2,-0.26465683600262746,-0.08451226695882222,-0.11082968342406949,-0.01149175614210452,-0.20275530713366557,0.8764546443613148,-0.1689941410244136,-0.4766788390747604,-0.5104096122907815,-0.06968555345727445,-0.20016063227089473,0.010008031613544736,-0.4318280307325784,0.9273954216993542,-0.0789522493957418,-0.231296730624145,-0.13529376070162327,-0.2865262384174104,-0.18836832410226279,-0.03410144105355984,-0.3336010537848245,1.0,-0.028633412294032674,-0.22684871657368066,-0.11158124512172453,-0.0974856412726765,-0.03224810186586637,-0.056596701649175414,0.924074918983964,-0.4394589682621688,0.09330851035705821,-0.20423797848382036,-0.2794835495041752,0.10567907946682066,0.025487256371814093,-0.005189349725541715,0.8729107879426405,-0.006678143882413709,-0.13306975367639112,-0.20386731064628166,-0.16732460505381017,-0.11082968342406949,0.9367634764870362,0.13889495079497144,-0.33100637892205365,0.07487490318281617,-0.03596796739747931,0.047079130001524964,0.7760468253447577,-0.07617922216782189,-0.025205412952631186,-0.16973615701134845,0.6853425825701587,-0.06674468176851832,-0.25279546520138924,-0.36844383051346175
C3_B_Naive_NR4A1,0.06049493486883436,-0.4194192900784534,-0.294935791883314,-0.009378493786037256,-0.528457272987933,0.05816335726088331,0.8406206104333755,0.413719159437317,0.2747095218663785,-0.23021172782912042,0.3673826135803375,-0.26551576276777145,-0.12705775074274936,-0.015205857113219503,0.5799423239401325,-0.12908037774444292,-0.10719923108975815,0.0020226270016935497,-0.1819192531406601,-0.5144827591580502,-0.2745256466844064,-0.028633412294032674,1.0,-0.07391782315280064,-0.01553887695921859,-0.2737901459565178,-0.28298390505512483,0.5258135712176909,-0.07391782315280064,-0.26189449997738223,0.7699477446629506,0.3725311186755575,-0.43357767909030825,0.20344053991260877,0.13498608652901117,-0.3068876787115032,0.12857337642150768,0.6413010436902238,-0.26606738831368787,-0.31313943489855595,0.1014082006237088,-0.08476645888915696,0.037146191074108346,0.695860662049512,-0.07244682169702352,-0.12503512374105583,-0.14641832709804392,-0.02583683092035754,0.23593683819246009,-0.29808898876796847,-0.360211481483424,0.21551543181554084,0.22062350119904076,-0.2279049086362769,-0.11694461573428161,0.15390352731068194
