CellType,Pathway,NES,NOM_pval,FDR_qval
CD4+ T,Cholesterol Homeostasis,1.21156122706446,0.14107883817427386,0.1842998613327752
CD4+ T,heme Metabolism,1.2023885269713377,0.11294416243654823,0.19164539880899997
CD4+ T,Apical Surface,1.1980427000002554,0.19703703703703704,0.19212105448652342
CD4+ T,TGF-beta Signaling,1.1479939231254572,0.2352092352092352,0.26557801059253144
CD4+ T,Apical Junction,1.130106284642844,0.20418204182041821,0.29013863815412705
CD4+ T,Reactive Oxygen Species Pathway,1.116700299752443,0.27529761904761907,0.3051626493713305
CD4+ T,Notch Signaling,1.1115057830315729,0.32457496136012365,0.3059987689324827
CD4+ T,Protein Secretion,1.102936226654982,0.2913165266106443,0.3156205576341104
CD4+ T,Pperoxisome,1.0902273914324383,0.2921195652173913,0.3327542450485335
CD4+ T,Spermatogenesis,-1.0697670042531,0.26337448559670784,0.7862297308769846
CD4+ T,Androgen Response,1.0337860755013586,0.38636363636363635,0.44472806100081613
CD4+ T,Pancreas Beta Cells,-1.007149365565184,0.4061624649859944,0.5716529416758639
CD4+ T,Xenobiotic Metabolism,0.9658291188434289,0.5214198286413708,0.5961363797762637
CD4+ T,Bile Acid Metabolism,0.8918946162662271,0.6689655172413793,0.7606350581653943
CD4+ T,PI3K/AKT/mTOR  Signaling,0.8722147921978596,0.7206477732793523,0.787309332565867
CD4+ T,KRAS Signaling Dn,0.8324589237264371,0.842170160295931,0.850399286023681
CD4+ T,Interferon Alpha Response,0.8084136800822723,0.837730870712401,0.8798702739104272
CD4+ T,Oxidative Phosphorylation,-0.7729638499993347,1.0,0.9693522370320061
CD4+ T,Hedgehog Signaling,0.75471959401101,0.8687022900763359,0.9534549069883048
CD8+ T,TNF-alpha Signaling via NF-kB,1.4542936410482779,0.0,0.041637654922712715
CD8+ T,Apoptosis,1.4456890751649056,0.001148105625717566,0.025623172260130903
CD8+ T,Mitotic Spindle,1.4212686146357105,0.0011148272017837235,0.047687570595243624
CD8+ T,p53 Pathway,1.3642314345944648,0.01327433628318584,0.14920159680638723
CD8+ T,KRAS Signaling Up,1.3331920491550717,0.008629989212513484,0.2171563849046094
CD8+ T,Angiogenesis,1.3288737145914615,0.04281767955801105,0.19519874978724722
CD8+ T,IL-2/STAT5 Signaling,1.323473326694981,0.019889502762430938,0.18409029117844045
CD8+ T,Myogenesis,1.3176798928248257,0.021834061135371178,0.1793622058209163
CD8+ T,G2-M Checkpoint,1.3091425084171942,0.013333333333333334,0.1849376183034448
CD8+ T,Epithelial Mesenchymal Transition,1.3059658834943189,0.0231023102310231,0.17551872998189666
CD8+ T,Allograft Rejection,1.3018044382175382,0.030735455543358946,0.17208289551974276
CD8+ T,Inflammatory Response,1.295394911610715,0.029347826086956522,0.17384610623713811
CD8+ T,Interferon Gamma Response,1.294408303080285,0.03200883002207505,0.1632655976062187
CD8+ T,Hypoxia,1.2624487876836408,0.03987068965517242,0.23167618251868352
CD8+ T,Androgen Response,1.2528716431956985,0.09658421672555949,0.24306425907874177
CD8+ T,Apical Surface,1.2467944605350567,0.16511318242343542,0.2424859583159263
CD8+ T,Myc Targets V1,1.2408216024012202,0.07025246981339188,0.24348293836403803
CD8+ T,Protein Secretion,1.2406964634170525,0.10488676996424315,0.2302526729486763
CD8+ T,UV Response Dn,1.2217909243263618,0.10325476992143659,0.26657089737294076
CD8+ T,Complement,1.2205391026287706,0.07423580786026202,0.2566053938634359
CD8+ T,Glycolysis,1.2043923034806934,0.09922822491730982,0.2863287820814628
CD8+ T,Adipogenesis,1.2001364066608982,0.11627906976744186,0.2831651707156511
CD8+ T,TGF-beta Signaling,1.1945856656098328,0.19870967741935483,0.28561481687787216
CD8+ T,Estrogen Response Early,1.1592654274929106,0.16666666666666666,0.36633129090655897
CD8+ T,Notch Signaling,1.155358477524772,0.2909604519774011,0.3623970663324514
CD8+ T,E2F Targets,1.1452090106167079,0.20444444444444446,0.377859665284815
CD8+ T,Wnt-beta Catenin Signaling,1.1302169424638948,0.2899728997289973,0.4039999243545639
CD8+ T,UV Response Up,1.1271708941500111,0.2195945945945946,0.3987987480189123
CD8+ T,mTORC1 Signaling,1.1262474511513079,0.23026315789473684,0.3874400357264621
CD8+ T,Apical Junction,1.0985334771727548,0.26994535519125684,0.44762258428878676
CD8+ T,IL-6/JAK/STAT3 Signaling,1.0890846411330344,0.3381468110709988,0.4572220899536262
CD8+ T,Unfolded Protein Response,1.0782761733154387,0.3373493975903614,0.4722937845239753
CD8+ T,Spermatogenesis,-1.072130809970046,0.2537313432835821,1.0
CD8+ T,Coagulation,1.040396508075901,0.3993055555555556,0.5630627399183311
CD8+ T,Interferon Alpha Response,1.0359390869302862,0.43656716417910446,0.5595962657448441
CD8+ T,Estrogen Response Late,1.0308450573466497,0.40904079382579933,0.5567854324573445
CD8+ T,KRAS Signaling Dn,1.0088780622697178,0.46703296703296704,0.5975477984599277
CD8+ T,Hedgehog Signaling,0.9891040939857285,0.5198902606310014,0.6348083217599997
CD8+ T,Oxidative Phosphorylation,-0.9567717194292933,0.6190476190476191,1.0
