cell_state,gene,mean_scaled,fraction
Mac_Prolif,FCGR3A,0.41718390583992004,0.7493368700265252
Mac_Prolif,CDKN1C,0.010663128457963467,0.08289124668435013
Mac_Prolif,LST1,0.14002783596515656,0.736737400530504
Mac_Prolif,MKI67,1.0,0.7586206896551724
Mac_Prolif,TOP2A,1.0,0.669761273209549
Mac_Prolif,STMN1,1.0,0.8912466843501327
Mac_Prolif,MT1G,0.07962892204523087,0.21419098143236073
Mac_Prolif,MT2A,0.09422048181295395,0.6836870026525199
Mac_Prolif,MT1X,0.08684881776571274,0.2645888594164456
Mac_MT1G,TREM2,0.6321660280227661,0.46830265848670755
Mac_MT1G,C1QA,0.6315229535102844,0.6513292433537833
Mac_MT1G,APOE,0.646694004535675,0.6482617586912065
Mac_MT1G,CD14,0.536144495010376,0.6983640081799591
Mac_MT1G,S100A8,0.1961168646812439,0.42535787321063395
Mac_MT1G,VCAN,0.17853829264640808,0.26380368098159507
Mac_MT1G,HLA-DRA,0.39752376079559326,0.9079754601226994
Mac_MT1G,CST3,0.03384804725646973,0.7965235173824131
Mac_MT1G,CLEC10A,0.09305217117071152,0.11042944785276074
Mac_MT1G,IL1B,0.20748835802078247,0.5245398773006135
Mac_MT1G,TNF,0.25526511669158936,0.31390593047034765
Mac_MT1G,CXCL8,0.6039823293685913,0.7699386503067485
Mac_MT1G,FCGR3A,0.2939069867134094,0.5480572597137015
Mac_MT1G,CDKN1C,0.02494598552584648,0.07668711656441718
Mac_MT1G,LST1,0.0,0.47137014314928427
Mac_MT1G,MKI67,0.04490514099597931,0.046012269938650305
Mac_MT1G,TOP2A,0.03420855849981308,0.03067484662576687
Mac_MT1G,STMN1,0.14125920832157135,0.261758691206544
Mac_MT1G,MT1G,1.0,0.9376278118609407
Mac_MT1G,MT2A,1.0,0.9560327198364008
Mac_MT1G,MT1X,1.0,0.8271983640081799
