order,label,group,metric,med,q1,q3,whislo,whishi
28,P35-LN1_1,Lymph node,pct_counts_mt,5.9105305671691895,4.532420039176941,7.788450717926025,0.0,12.670106887817383
29,P29-LN1,Lymph node,n_genes_by_counts,627.0,497.0,819.0,154.0,1302.0
29,P29-LN1,Lymph node,total_counts,1573.0,1200.0,2136.0,500.0,3529.0
29,P29-LN1,Lymph node,pct_counts_mt,2.9011785984039307,1.645474910736084,5.111294269561768,0.07153929024934769,10.307955741882324
30,P30-LN1_1,Lymph node,n_genes_by_counts,922.0,721.0,1133.0,158.0,1750.0
30,P30-LN1_1,Lymph node,total_counts,2290.5,1688.75,3017.0,502.0,5005.0
30,P30-LN1_1,Lymph node,pct_counts_mt,8.391678810119629,6.549018621444702,10.58162236213684,0.5286343097686768,16.617460250854492
31,P31-LN1_1,Lymph node,n_genes_by_counts,1139.0,812.0,1418.0,271.0,2321.0
31,P31-LN1_1,Lymph node,total_counts,3061.5,1960.0,4171.0,500.0,7480.0
31,P31-LN1_1,Lymph node,pct_counts_mt,7.750840902328491,6.109429240226746,9.97840929031372,0.39603960514068604,15.75875473022461
32,P32-LN1,Lymph node,n_genes_by_counts,1057.0,815.0,1308.0,261.0,2043.0
32,P32-LN1,Lymph node,total_counts,2954.5,2058.0,3958.75,500.0,6805.0
32,P32-LN1,Lymph node,pct_counts_mt,12.692541599273682,10.105415344238281,15.550276517868042,2.1106419563293457,23.7156925201416
33,P27-M1,Ovary,n_genes_by_counts,1424.5,826.0,2145.0,283.0,4116.0
33,P27-M1,Ovary,total_counts,3806.5,1727.5,6988.75,501.0,14875.0
33,P27-M1,Ovary,pct_counts_mt,9.0458664894104,6.834700703620911,12.185745000839233,0.2939015328884125,20.182605743408203
34,P08-M1,Ovary,n_genes_by_counts,1224.0,800.0,1724.5,280.0,3109.0
34,P08-M1,Ovary,total_counts,3138.0,1731.5,5136.0,501.0,10242.0
34,P08-M1,Ovary,pct_counts_mt,12.646894454956055,9.787268161773682,16.25389862060547,0.34135517477989197,24.980112075805664
35,P09-M1,Ovary,n_genes_by_counts,1636.0,845.0,2291.0,315.0,4358.0
35,P09-M1,Ovary,total_counts,4238.0,1618.0,6870.5,502.0,14696.0
35,P09-M1,Ovary,pct_counts_mt,8.994610786437988,7.026735305786133,11.914626598358154,0.9615384936332703,19.201261520385742
36,P29-PLN1,Metastatic lymph node,n_genes_by_counts,872.0,571.0,1892.0,298.0,3873.0
36,P29-PLN1,Metastatic lymph node,total_counts,1724.0,969.0,5679.5,500.0,12739.0
36,P29-PLN1,Metastatic lymph node,pct_counts_mt,7.406122207641602,5.249857068061829,10.305243253707886,0.15721023082733154,17.884084701538086
37,P32-PLN1,Metastatic lymph node,n_genes_by_counts,1111.0,731.0,1778.0,283.0,3346.0
37,P32-PLN1,Metastatic lymph node,total_counts,2454.0,1399.0,5196.0,499.0,10890.0
37,P32-PLN1,Metastatic lymph node,pct_counts_mt,11.618257522583008,8.913043022155762,15.15981674194336,0.2895752787590027,24.52863121032715
