x,y,cell_type
1.52468,20.035,B cells
-0.04847,18.69428,B cells
0.44245,19.64456,B cells
1.6399,20.17002,B cells
0.78021,18.27802,B cells
0.76699,19.99253,B cells
0.38736,19.17017,B cells
-0.57276,19.17073,B cells
1.72314,19.31628,B cells
0.71154,19.33986,B cells
-0.72714,17.44605,B cells
2.3235,19.53498,B cells
1.5122,21.36523,B cells
1.36375,20.20987,B cells
0.17208,19.66091,B cells
2.41061,18.62058,B cells
1.82692,19.51327,B cells
2.86376,18.67059,B cells
2.21498,19.8969,B cells
2.9176,18.43363,B cells
1.79442,19.76401,B cells
0.04356,20.16384,B cells
1.74727,19.0133,B cells
1.4639,20.46367,B cells
2.94213,19.92192,B cells
3.23076,19.84599,B cells
1.38734,18.54829,B cells
0.91484,20.34284,B cells
1.27131,19.12179,B cells
1.44832,20.67011,B cells
2.57081,18.50191,B cells
2.86296,18.91481,B cells
2.63088,19.5929,B cells
2.52784,18.72989,B cells
2.38604,21.29042,B cells
0.79262,18.75686,B cells
2.7652,19.5303,B cells
2.77355,18.53276,B cells
2.47246,21.06907,B cells
1.41711,19.7268,B cells
2.97775,19.22941,B cells
3.02843,19.04967,B cells
2.18107,19.45993,B cells
1.69553,18.81399,B cells
3.25942,18.88686,B cells
2.98375,18.78362,B cells
2.29772,19.02146,B cells
2.64773,20.16865,B cells
1.44413,18.56558,B cells
1.14384,21.00536,B cells
1.40433,21.17163,B cells
3.59662,19.20596,B cells
3.13599,21.15477,B cells
3.01989,18.38753,B cells
1.55913,18.16147,B cells
2.48997,17.95502,B cells
0.82809,20.20161,B cells
1.99508,19.21732,B cells
1.00862,17.85014,B cells
1.11367,18.5313,B cells
1.65834,18.71045,B cells
1.80228,19.11195,B cells
2.16198,20.79576,B cells
3.03015,19.54456,B cells
2.17144,19.33718,B cells
2.90673,20.43619,B cells
-0.5286,17.99659,B cells
3.20443,21.02064,B cells
1.45387,17.91457,B cells
0.3649,20.69386,B cells
3.42324,19.01611,B cells
3.21523,18.1483,B cells
2.17225,18.89292,B cells
1.07565,18.83517,B cells
1.42338,19.45131,B cells
0.00542,17.92012,B cells
2.89575,19.34821,B cells
2.24611,21.26585,B cells
1.22415,19.41906,B cells
2.87526,20.07781,B cells
-0.17112,19.80595,B cells
2.19256,19.15355,B cells
2.39054,21.15754,B cells
0.82217,17.58261,B cells
1.52116,18.49129,B cells
1.44051,19.0419,B cells
0.85334,18.3132,B cells
1.54496,18.7201,B cells
1.11265,18.43001,B cells
0.96446,19.56085,B cells
0.12498,19.08172,B cells
3.05595,20.65403,B cells
1.78043,17.80078,B cells
2.2489,18.20483,B cells
0.96547,17.79998,B cells
3.28797,19.04742,B cells
0.68564,17.32561,B cells
-0.56549,18.42135,B cells
2.32064,19.31174,B cells
1.20827,18.21929,B cells
0.82925,20.74356,B cells
1.51213,18.93502,B cells
2.64619,19.61579,B cells
2.82377,18.70425,B cells
3.35706,19.18217,B cells
-0.01004,18.40089,B cells
3.02672,20.64653,B cells
2.10618,18.65859,B cells
2.49359,20.77938,B cells
1.74628,18.78846,B cells
3.12686,20.55554,B cells
1.4511,21.38662,B cells
1.4786,18.03697,B cells
3.97244,20.12248,B cells
0.89682,18.20856,B cells
2.45362,18.67495,B cells
1.63122,19.76764,B cells
3.32654,19.53089,B cells
2.97064,19.0525,B cells
2.74588,18.95004,B cells
1.53535,19.17095,B cells
0.55232,17.29833,B cells
0.22189,17.93619,B cells
2.92805,21.36601,B cells
2.7743,18.62071,B cells
1.66082,18.18007,B cells
0.45894,17.52767,B cells
3.21033,20.70336,B cells
2.3492,18.83674,B cells
2.09986,18.05567,B cells
2.25013,19.76193,B cells
3.46862,19.29298,B cells
3.19795,19.96379,B cells
0.98729,18.93915,B cells
1.15165,19.22425,B cells
2.23682,18.02739,B cells
