x,y,n_genes,total_counts,pct_mt,doublet_score
1.5714243650436401,19.543678283691406,883.0,1495.0,7.491638660430908,0.015972894482091
2.9021270275115967,18.971080780029297,728.0,1395.0,7.526882171630859,0.010004168403501459
2.041236162185669,18.074377059936523,700.0,1381.0,8.110065460205078,0.014847984916332786
2.1673197746276855,18.238264083862305,626.0,1170.0,10.427350997924805,0.031055900621118016
1.8523368835449219,18.9910888671875,1001.0,2024.0,8.843873023986816,0.019290928050052142
1.741390347480774,20.007211685180664,765.0,1490.0,9.865772247314453,0.013436574812115692
0.20922358334064484,18.693084716796875,1261.0,2823.0,8.855827331542969,0.024235429890363536
2.8201749324798584,20.272619247436523,927.0,1782.0,7.9124579429626465,0.02213613724405091
1.8661322593688965,18.57217025756836,638.0,1155.0,9.523809432983398,0.019742037378257436
1.4557111263275146,19.02714729309082,798.0,1492.0,6.836461067199707,0.017570281124497995
1.1266289949417114,19.532672882080078,467.0,868.0,10.368663787841797,0.00862933975516757
1.7516775131225586,19.143651962280273,1097.0,2344.0,9.513651847839355,0.03996983408748115
-0.957301676273346,17.72736358642578,972.0,2131.0,17.50351905822754,0.020671140939597318
0.8914029002189636,18.62779426574707,805.0,1844.0,10.845986366271973,0.044993919740575594
0.5404304265975952,18.456209182739258,786.0,1535.0,11.661237716674805,0.021637907422623944
-0.5243957042694092,17.93994140625,879.0,1977.0,13.960546493530273,0.023163841807909608
0.9153702259063721,18.893171310424805,512.0,958.0,12.212943077087402,0.00916683642289672
0.0502968467772007,18.901891708374023,929.0,1961.0,12.289648056030273,0.015216357584403234
0.602009654045105,21.305070877075195,612.0,1391.0,17.757009506225586,0.007810756527560813
1.924760341644287,20.59173583984375,289.0,503.0,10.934393882751465,0.011642308645033442
1.9549185037612915,21.104719161987305,326.0,568.0,10.387323379516602,0.007810756527560813
1.7992734909057617,20.723539352416992,564.0,1182.0,9.30626106262207,0.01027479091995221
2.6326591968536377,19.31340217590332,726.0,1707.0,10.369068145751953,0.011510128913443832
3.404430866241455,20.348678588867188,401.0,808.0,8.539603233337402,0.015098137896326122
3.6314165592193604,19.62251091003418,323.0,642.0,9.190031051635742,0.017154922143045658
1.823207139968872,20.789627075195312,1004.0,2508.0,11.56299877166748,0.07047175305765871
3.366631269454956,20.246437072753906,614.0,1513.0,12.293456077575684,0.03337542846833846
2.583329916000366,19.606754302978516,748.0,1788.0,11.465324401855469,0.0161020224140152
-0.9951466917991638,18.219146728515625,577.0,1328.0,23.569276809692383,0.11937035417577614
1.2098956108093262,19.614469528198242,553.0,1243.0,13.274335861206055,0.016308568470100957
1.1834040880203247,18.83024024963379,394.0,839.0,17.401668548583984,0.025949367088607594
0.7905891537666321,19.16401481628418,463.0,890.0,16.067415237426758,0.012177985948477753
1.273169755935669,20.78230857849121,619.0,1444.0,15.720221519470215,0.031424581005586594
2.8402011394500732,20.250051498413086,826.0,1913.0,11.082070350646973,0.2666666666666665
3.081592321395874,19.697420120239258,664.0,1443.0,11.850311279296875,0.04489795918367346
