order,sample,cell_type,proportion
18,P28-B1,Endothelial cells,0.0
18,P28-B1,Epithelial cells,0.005503512880562061
18,P28-B1,Fibroblasts,0.0
18,P28-B1,Hepatocytes,0.0
18,P28-B1,Mast cells,0.001990632318501171
18,P28-B1,Monocytes/Macrophages,0.2686182669789227
18,P28-B1,Neutrophils,0.11346604215456675
18,P28-B1,Pericytes,0.0
18,P28-B1,Plasma cells,0.010772833723653397
18,P28-B1,T/NK cells,0.5717798594847775
19,P27-B1,B cells,0.041505791505791506
19,P27-B1,Dendritic cells,0.012548262548262547
19,P27-B1,Endothelial cells,0.0
19,P27-B1,Epithelial cells,0.0028957528957528956
19,P27-B1,Fibroblasts,0.0
19,P27-B1,Hepatocytes,0.0
19,P27-B1,Mast cells,0.008848133848133849
19,P27-B1,Monocytes/Macrophages,0.1858108108108108
19,P27-B1,Neutrophils,0.5054697554697555
19,P27-B1,Pericytes,0.0
19,P27-B1,Plasma cells,0.013030888030888031
19,P27-B1,T/NK cells,0.2298906048906049
20,P35-B1,B cells,0.05686107390722026
20,P35-B1,Dendritic cells,0.010714720564957994
20,P35-B1,Endothelial cells,0.0
20,P35-B1,Epithelial cells,0.0023134055765250214
20,P35-B1,Fibroblasts,0.0
20,P35-B1,Hepatocytes,0.0
20,P35-B1,Mast cells,0.008401314988432973
20,P35-B1,Monocytes/Macrophages,0.1648605868744673
20,P35-B1,Neutrophils,0.36259588457323755
20,P35-B1,Pericytes,0.0
20,P35-B1,Plasma cells,0.0017046146353342263
20,P35-B1,T/NK cells,0.3925483988798247
21,P25-B1,B cells,0.01576775714706749
21,P25-B1,Dendritic cells,0.00618921308576481
21,P25-B1,Endothelial cells,0.0
21,P25-B1,Epithelial cells,0.001326259946949602
21,P25-B1,Fibroblasts,0.0
21,P25-B1,Hepatocytes,0.0
21,P25-B1,Mast cells,0.002357795461243737
21,P25-B1,Monocytes/Macrophages,0.15296198054818744
21,P25-B1,Neutrophils,0.6249631594459181
21,P25-B1,Pericytes,0.0
21,P25-B1,Plasma cells,0.0007368110816386678
21,P25-B1,T/NK cells,0.1956970232832302
22,P29-B1,B cells,0.05439905734485467
22,P29-B1,Dendritic cells,0.008444619010212097
22,P29-B1,Endothelial cells,0.0
